CF,INDEX_NAME,INDEX_TYPE,INDEX_FLAGS,INDEX_NUMBER,TABLE_SCHEMA,TTL_DURATION,TABLE_NAME,COLUMN_FAMILY,PARTITION_NAME,AUTO_INCREMENT,KV_FORMAT_VERSION
default,HIDDEN_PK_ID,3,0,618,u319662425_user,0,time_zone_transition,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,615,u319662425_user,0,time_zone,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,611,u319662425_user,0,roles_mapping,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,608,u319662425_user,0,proc,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,607,u319662425_user,0,plugin,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,606,u319662425_user,0,index_stats,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,612,u319662425_user,0,servers,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,604,u319662425_user,0,help_relation,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,603,u319662425_user,0,help_keyword,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,602,u319662425_user,0,help_category,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,601,u319662425_user,0,global_priv,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,600,u319662425_user,0,func,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,599,u319662425_user,0,event,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,594,u319662425_foneqatar,0,time_zone_transition,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,593,u319662425_foneqatar,0,time_zone_name,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,591,u319662425_foneqatar,0,time_zone,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,590,u319662425_foneqatar,0,tables_priv,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,587,u319662425_foneqatar,0,roles_mapping,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,585,u319662425_foneqatar,0,procs_priv,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,584,u319662425_foneqatar,0,proc,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,583,u319662425_foneqatar,0,plugin,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,581,u319662425_foneqatar,0,help_topic,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,580,u319662425_foneqatar,0,help_relation,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,579,u319662425_foneqatar,0,help_keyword,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,578,u319662425_foneqatar,0,help_category,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,577,u319662425_foneqatar,0,global_priv,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,576,u319662425_foneqatar,0,func,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,575,u319662425_foneqatar,0,event,0,NULL,NULL,13
default,PRIMARY,1,0,597,u319662425_user,0,columns_priv,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,574,u319662425_foneqatar,0,db,0,NULL,NULL,13
default,PRIMARY,1,0,568,u630488361_ccms,0,wp_wfthrottlelog,0,NULL,NULL,13
default,k2,2,0,569,u630488361_ccms,0,wp_wfthrottlelog,0,NULL,NULL,13
default,PRIMARY,1,0,565,u630488361_ccms,0,wp_wfstatus,0,NULL,1983,13
default,k1,2,0,566,u630488361_ccms,0,wp_wfstatus,0,NULL,1983,13
default,k2,2,0,567,u630488361_ccms,0,wp_wfstatus,0,NULL,1983,13
default,PRIMARY,1,0,561,u630488361_ccms,0,wp_wfsnipcache,0,NULL,25,13
default,expiration,2,0,562,u630488361_ccms,0,wp_wfsnipcache,0,NULL,25,13
